date,sku,product_name,warehouse,stock_level,reorder_point
2025-10-03,SKU-1000,Laptop Pro 15,WH-West,167,24
2025-12-26,SKU-1002,Wireless Keyboard,WH-Europe,171,35
2025-11-28,SKU-1006,Noise-Cancel Headset,WH-Europe,71,28
2025-10-20,SKU-1000,Laptop Pro 15,WH-Central,64,24
2026-01-28,SKU-1007,Desk Lamp LED,WH-East,198,35
2025-12-09,SKU-1006,Noise-Cancel Headset,WH-Europe,66,28
2025-10-25,SKU-1002,Wireless Keyboard,WH-Europe,200,35
2026-01-01,SKU-1000,Laptop Pro 15,WH-Europe,130,24
2025-10-23,SKU-1005,Webcam HD,WH-East,181,33
2026-02-01,SKU-1000,Laptop Pro 15,WH-Europe,99,24
2026-01-01,SKU-1007,Desk Lamp LED,WH-East,33,35
2026-02-14,SKU-1005,Webcam HD,WH-East,57,33
2025-11-07,SKU-1003,USB-C Hub,WH-East,78,38
2025-12-11,SKU-1007,Desk Lamp LED,WH-West,22,35
2026-02-12,SKU-1005,Webcam HD,WH-East,75,33
2026-01-14,SKU-1000,Laptop Pro 15,WH-West,159,24
2026-01-07,SKU-1003,USB-C Hub,WH-Europe,73,38
2026-02-22,SKU-1000,Laptop Pro 15,WH-West,198,24
2025-10-21,SKU-1004,Ergonomic Mouse,WH-Europe,37,60
2026-02-06,SKU-1006,Noise-Cancel Headset,WH-East,56,28
2025-12-03,SKU-1004,Ergonomic Mouse,WH-West,152,60
2025-12-08,SKU-1002,Wireless Keyboard,WH-Europe,79,35
2025-10-16,SKU-1002,Wireless Keyboard,WH-West,75,35
2025-11-04,SKU-1007,Desk Lamp LED,WH-Europe,49,35
2026-01-14,SKU-1003,USB-C Hub,WH-Central,49,38
2025-10-04,SKU-1002,Wireless Keyboard,WH-West,107,35
2026-02-08,SKU-1002,Wireless Keyboard,WH-Central,111,35
2025-11-11,SKU-1006,Noise-Cancel Headset,WH-West,2,28
2025-11-28,SKU-1002,Wireless Keyboard,WH-Central,91,35
2025-11-18,SKU-1004,Ergonomic Mouse,WH-West,149,60
2025-12-29,SKU-1002,Wireless Keyboard,WH-West,157,35
2025-10-06,SKU-1004,Ergonomic Mouse,WH-Europe,101,60
2026-02-24,SKU-1007,Desk Lamp LED,WH-West,126,35
2025-11-09,SKU-1004,Ergonomic Mouse,WH-West,77,60
2025-10-02,SKU-1001,"27"" Monitor",WH-East,47,34
2025-11-10,SKU-1000,Laptop Pro 15,WH-Central,164,24
2026-01-02,SKU-1000,Laptop Pro 15,WH-Europe,67,24
2025-12-03,SKU-1003,USB-C Hub,WH-West,193,38
2025-10-09,SKU-1003,USB-C Hub,WH-Central,30,38
2026-01-08,SKU-1005,Webcam HD,WH-East,152,33
2026-02-25,SKU-1000,Laptop Pro 15,WH-East,17,24
2026-01-24,SKU-1006,Noise-Cancel Headset,WH-East,55,28
2025-12-10,SKU-1004,Ergonomic Mouse,WH-West,24,60
2026-02-21,SKU-1005,Webcam HD,WH-West,26,33
2026-02-01,SKU-1007,Desk Lamp LED,WH-Central,29,35
2026-01-22,SKU-1003,USB-C Hub,WH-West,43,38
2026-02-11,SKU-1000,Laptop Pro 15,WH-Europe,104,24
2025-11-24,SKU-1004,Ergonomic Mouse,WH-Central,15,60
2025-10-24,SKU-1007,Desk Lamp LED,WH-Europe,17,35
2025-11-09,SKU-1002,Wireless Keyboard,WH-East,177,35
2026-01-13,SKU-1004,Ergonomic Mouse,WH-Central,44,60
2025-11-25,SKU-1007,Desk Lamp LED,WH-Europe,126,35
2026-02-12,SKU-1007,Desk Lamp LED,WH-West,188,35
2026-01-23,SKU-1006,Noise-Cancel Headset,WH-Central,170,28
2025-11-18,SKU-1003,USB-C Hub,WH-Central,14,38
2025-12-27,SKU-1000,Laptop Pro 15,WH-Europe,162,24
2026-01-08,SKU-1002,Wireless Keyboard,WH-Central,68,35
2025-10-24,SKU-1001,"27"" Monitor",WH-Central,195,34
2025-11-08,SKU-1002,Wireless Keyboard,WH-Europe,12,35
2026-02-08,SKU-1000,Laptop Pro 15,WH-East,111,24
2026-01-15,SKU-1004,Ergonomic Mouse,WH-Central,41,60
2026-02-16,SKU-1003,USB-C Hub,WH-West,161,38
2025-10-09,SKU-1003,USB-C Hub,WH-West,127,38
2026-02-17,SKU-1006,Noise-Cancel Headset,WH-West,110,28
2025-10-07,SKU-1006,Noise-Cancel Headset,WH-Central,165,28
2025-10-20,SKU-1005,Webcam HD,WH-Central,133,33
2025-11-29,SKU-1006,Noise-Cancel Headset,WH-West,69,28
2026-02-28,SKU-1000,Laptop Pro 15,WH-Central,44,24
2026-02-19,SKU-1004,Ergonomic Mouse,WH-West,27,60
2025-11-03,SKU-1006,Noise-Cancel Headset,WH-West,10,28
2025-11-28,SKU-1000,Laptop Pro 15,WH-Europe,2,24
2025-10-10,SKU-1001,"27"" Monitor",WH-Central,71,34
2026-01-29,SKU-1000,Laptop Pro 15,WH-Europe,53,24
2026-02-08,SKU-1001,"27"" Monitor",WH-West,167,34
2026-01-18,SKU-1006,Noise-Cancel Headset,WH-Central,164,28
2025-12-16,SKU-1004,Ergonomic Mouse,WH-East,156,60
2025-10-19,SKU-1004,Ergonomic Mouse,WH-East,63,60
2025-12-31,SKU-1002,Wireless Keyboard,WH-West,4,35
2026-02-22,SKU-1003,USB-C Hub,WH-Europe,144,38
2025-12-20,SKU-1007,Desk Lamp LED,WH-East,79,35
2026-01-01,SKU-1006,Noise-Cancel Headset,WH-East,144,28
2026-01-20,SKU-1001,"27"" Monitor",WH-East,26,34
2025-12-10,SKU-1001,"27"" Monitor",WH-West,165,34
